[報牌] 救救我啊我救我539,1,Tue Apr 16 16:14:36 2024
[討論] 2024.04.13 開獎結果,1,Sun Apr 14 23:13:46 2024
[討論] 2024.04.15 開獎結果 威力彩 2.7億,8,Mon Apr 15 22:31:52 2024
[報牌] 虎斑法鬥 39 二合,1,Tue Apr 16 06:31:44 2024
[報牌] 享受輸的感覺539,1,Tue Apr 16 17:25:19 2024
[真相] 兩組威力彩,4,Tue Apr 16 17:03:30 2024
[報牌] 虎斑法鬥 39 二合,8,Mon Apr 15 06:30:32 2024
[報牌] 享受輸的感覺539,4,Mon Apr 15 16:57:49 2024
[真相] 3組539,3,Mon Apr 15 20:43:04 2024
[討論] 2024.04.09 開獎結果 大樂透 1.8億,5,Tue Apr  9 22:32:50 2024
[報牌] 享受輸的感覺539,1,Thu Apr 11 17:56:46 2024
[報牌] 虎斑法鬥 39 二合,7,Fri Apr 12 04:36:55 2024
[報牌] 高雄539,7,Fri Apr 12 16:14:48 2024
[真相] 39二合,6,Thu Apr 11 21:38:56 2024
[報牌] 539,2,Thu Apr 11 16:49:41 2024
[報牌] 虎斑法鬥 39 二合,2,Wed Apr 10 06:25:51 2024
[問題] 享受輸的感覺539,1,Wed Apr 10 17:59:03 2024
[報牌] 39樂合,7,Wed Apr 10 17:19:03 2024
[討論] 2024.04.10 開獎結果,1,Thu Apr 11 18:20:32 2024
[報牌] 虎斑法鬥 39 二合,4,Thu Apr 11 03:10:23 2024
[討論] 2024.04.11 開獎結果,7,Fri Apr 12 10:52:53 2024
Re: [真相] 今彩539,3,Wed Apr 10 00:15:40 2024
Fw: [公告] EarthQuake43 地震專板討論,3,Thu Apr  4 15:58:41 2024
[報牌] 虎斑法鬥 39 二合,9,Mon Apr  8 00:37:44 2024
[報牌] 虎斑法鬥 39 二合,1,Fri Apr  5 06:30:15 2024
[討論] 2024.04.04 開獎結果,4,Fri Apr  5 09:24:43 2024
[報牌] 占卜539,3,Sat Apr  6 12:12:26 2024
[報牌] 占卜539,1,Fri Apr  5 17:16:45 2024
[閒聊] 故意選覺得不會中的號碼，反而會中？,2,Sun Apr  7 22:38:48 2024
[報牌] 享受輸的感覺539,2,Thu Apr  4 17:24:31 2024
[報牌] 享受地震搖晃的快感539,1,Fri Apr  5 18:32:59 2024
[報牌] 享受輸的感覺539,2,Sat Apr  6 15:00:39 2024
[報牌] 虎斑法鬥 39 二合,2,Sat Apr  6 00:39:16 2024
[討論] 2024.04.05 開獎結果,4,Sat Apr  6 10:35:58 2024
[討論] 2024.04.06 開獎結果,8,Sat Apr  6 22:08:53 2024
